merchant_match,amount_ratio,recurring_mismatch,action_count,decision_change_count,has_redirect,has_alternative,has_reassessment,service_addition_count,authorization_without_confirmation,unusual_action_count,label,attack_type
1,0.8353,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.938,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.9435,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.6658,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.8036,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.6,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.728,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.7811,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.7314,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.9671,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.5798,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.8768,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.5123,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.9402,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.8919,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.5951,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.604,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.714,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.9385,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.887,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.7411,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.9705,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.6446,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.7378,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.7419,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.7963,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.5554,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.8379,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.6653,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.5736,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.5708,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.8951,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.9778,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.9104,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.6898,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.9676,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.7041,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.9255,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.8568,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.8256,0,7,0,0,0,0,0,0,0,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.5347,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.5816,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.7486,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.999,0,7,2,0,1,1,0,1,3,1,subtle_intent_drift
1,0.9442,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.7369,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.5218,0,9,1,0,0,0,2,0,2,0,legitimate
0,1.5,1,7,1,1,0,0,1,1,3,1,merchant_substitution
1,0.812,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.5618,0,7,0,0,0,0,0,0,0,0,legitimate
1,0.8867,0,9,1,0,0,0,2,0,2,0,legitimate
1,0.9369,0,7,0,0,0,0,0,0,0,0,legitimate
